Year,China,Japan,"Korea, Rep.",Middle income
1960,20.86,17.3,42.277,34.22812574
1961,18.02,17,41.013,33.25925983
1962,37.01,17.1,39.579,38.89784287
1963,43.37,17.4,38.065,40.5812154
1964,39.14,17.8,36.552,38.99631669
1965,37.88,18.7,35.119,38.31478908
1966,35.05,13.8,33.82,37.1617456
1967,33.96,19.4,32.65,36.66064793
1968,35.59,18.7,31.595,36.92004519
1969,34.11,18.5,30.652,36.20519428
1970,33.43,18.7,31.2,35.76295123
1971,30.65,19.1,31.2,34.68293783
1972,29.77,19.2,28.4,34.21003893
1973,27.93,19.4,28.3,33.44468509
1974,24.82,18.4,26.6,32.30723753
1975,23.01,17,24.8,31.56359559
1976,19.91,16.2,22.2,30.44307699
1977,18.93,15.4,22.7,30.00703112
1978,18.25,14.8,20.3,29.67288204
1979,17.82,14.1,23,29.39485086
1980,18.21,13.5,22.6,29.37971322
1981,20.91,13,22.4,30.04647579
1982,22.28,12.8,21.6,30.29394612
1983,20.19,12.7,19.3,29.51314383
1984,19.9,12.5,16.7,29.17471065
1985,21.04,11.9,16.1,29.20927077
1986,22.43,11.4,15.4,29.35071545
1987,23.33,11.1,15,29.25115966
1988,22.37,10.8,15.1,28.5412087
1989,21.58,10.2,15.1,27.8499115
1990,21.06,10,15.2,27.26681255
1991,19.68,9.9,16.4,26.41547542
1992,18.27,9.8,16.7,25.60679217
1993,18.09,9.6,16,25.13655993
1994,17.7,10,16,24.67374526
1995,17.12,9.54,15.7,24.15404095
1996,16.98,9.6,15,23.78202077
1997,16.57,9.5,14.4,23.36467727
1998,15.64,9.6,13.6,22.84290583
1999,14.64,9.3,13,22.3019501
2000,14.03,9.4,13.3,21.92251822
2001,13.38,9.3,11.6,21.54305364
2002,12.86,9.3,10.2,21.23527866
2003,12.41,9.2,10.2,20.94103057
2004,12.29,8.693604565,9.8,20.75142622
2005,12.4,8.413292219,8.9,20.5904201
2006,12.09,8.65,9.2,20.34520735
2007,12.1,8.63,10,20.20089095
2008,12.14,8.7,9.4,20.05900527
2009,12.13,8.5,9,19.86841944
2010,11.9,8.5,9.4,19.61299277
2011,11.93,8.3,9.4,19.42022356
2012,12.1,8.2,9.6,19.29240915
2013,12.08,8.2,8.6,19.09730721
2014,12.37,8,8.6,18.99346643
2015,12.07,8,8.6,18.73457968
2016,12.95,7.8,7.9,18.75210142
2017,12.43,7.6,7,18.42218957
